# BILL OF MATERIALS / DEVICE SCHEDULE - Paxton Carnegie Library
# Sistema Fire-Lite Alarms (Honeywell) MS-9600LS direccionable. Corrientes verificadas contra manual PN 52646:B Tabla 5.3 y datasheet System Sensor AVDS102.
# Compatibilidad panel-notificacion: Fire-Lite Device Compatibility Document P/N 15384:BR, pag. 12.
ID,Dispositivo,Fabricante,Modelo,Funcion,Cantidad,Voltaje,I standby (A),I alarma (A),Alimentacion,Compatible con panel,Tipo conexion,Norma justificacion,Ubicaciones,Datasheet
CBL-2,Cable de NAC,-,FPLR 16 AWG,Circuitos de notificacion,~400 ft,-,-,-,-,-,Clase B,NEC Art. 760 / cap.9 tabla 8,4 circuitos,NEC
CBL-3,Cable de acometida,-,14 AWG aislamiento 600 V,Circuito derivado dedicado,~50 ft,120 VAC,-,-,-,-,-,NEC Art. 760,Rotulado FIRE ALARM,PN 52646:B seccion 5.2
CBL-4,Cable de ANN-BUS,-,4 conductores 18 AWG,Bus EIA-485 al anunciador,~60 ft,24 VDC / EIA-485,-,-,-,Si,Clase B,PN 52646:B tabla 1.1,FACP (sotano) -> ANN-80 (East Foyer). 0.040 A -> hasta 4688 ft con 18 AWG,PN 52646:B
,,,,,,,,,,,,,,
RESUMEN,,,,,,,,,,,,,,
Puntos direccionables en el lazo SLC,,,,,21,,,,,,,17 detectores + 4 modulos de 159+159,,
Aparatos de notificacion,,,,,15,,,,,,,11 horn/strobe + 4 strobe,,
Corriente total en standby (bateria),,,,,,,0.1413,,,,,Tabla 5.3 Col 3,,
Corriente total en alarma,,,,,,,,1.924,,,,27.5 pct del limite de 7.0 A,,
Sincronizacion de estrobos,,,,,,,,,,,,Programada en el panel: NAC Sync Type = System Sensor (52646:B 3.6.5.5.8). No requiere modulo MDL3,,
EOL del lazo SLC,,,,,,,,,,,,NO lleva: Style 4 se supervisa por comunicacion (doc 51309). La EOL de 4.7k es solo de los NAC,,
Bateria requerida por calculo,,,,,,,,,,,,4.26 AH,,
Bateria instalada,,,,,,,,,,,,12 AH (minimo del panel),,
